Book,Genres
Super Indy: The Great Action,[]
"Case Histories (Jackson Brodie, #1)","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'British Literature', 'Detective']"
"Wayward (Wayward Pines, #2)","['Science Fiction', 'Thriller', 'Fiction', 'Horror', 'Mystery', 'Dystopia', 'Post Apocalyptic']"
Give and Take: A Revolutionary Approach to Success,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Leadership', 'Personal Development', 'Management']"
Orchard of Skeletons,[]
The Poetic Edda: Stories of the Norse Gods and Heroes,"['Poetry', 'Mythology', 'Classics', 'History', 'Medieval', 'Religion', 'Nonfiction']"
Fatal Vision,"['True Crime', 'Nonfiction', 'Crime', 'Mystery', 'Biography', 'History', 'Thriller']"
"The Darkest Minds (The Darkest Minds, #1)","['Young Adult', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Fiction', 'Paranormal']"
L'amico ritrovato,"['Classics', 'Fiction', 'Historical Fiction', 'Historical', 'Germany', 'Novels', 'German Literature']"
Reginald Bones (Reginald Bones #1),"['Dark', 'Erotica', 'Thriller', 'Suspense', 'Romance', 'Contemporary', 'Mystery Thriller']"
The Sun Is Also a Star,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Young Adult Contemporary']"
Barabbas,"['Fiction', 'Historical Fiction', 'Classics', 'Religion', 'Literature', 'Nobel Prize', 'Swedish Literature']"
Silk,"['Fiction', 'Historical Fiction', 'Italian Literature', 'Romance', 'Japan', 'Italy', 'Historical']"
"Consider Phlebas (Culture, #1)","['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Space', 'Cultural']"
"HIDDEN MICKEY ADVENTURES 1: Peter and the Wolf (Hidden Mickey Adventures, #1)",[]
This Perfect Day,"['Science Fiction', 'Dystopia', 'Fiction', 'Horror', 'Classics', 'Science Fiction Fantasy', 'Novels']"
"The Fairway (Super Indy, #2)",[]
Liberators: Super Indy,['Fiction']
Death After Life: Week One Day One,[]
"The Thursday Murder Club (Thursday Murder Club, #1)","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Contemporary']"
The Little Book of Talent: 52 Tips for Improving Your Skills,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Business', 'Productivity', 'Education']"
Passionate Declarations: Essays on War and Justice,"['History', 'Politics', 'Nonfiction', 'Philosophy', 'Essays', 'Political Science', 'United States']"
Maniac Magee,"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'School', 'Classics']"
"Comet in Moominland (The Moomins, #2)","['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure']"
"The Murders in the Rue Morgue (C. Auguste Dupin, #1)","['Classics', 'Mystery', 'Short Stories', 'Fiction', 'Horror', 'Crime', 'Gothic']"
"On the Island (On the Island, #1)","['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Chick Lit', 'New Adult', 'Adult']"
"The Legend of the Blue Eyes (Blue Eyes Trilogy, #1)","['Fantasy', 'Paranormal', 'Young Adult', 'Vampires', 'Romance', 'Paranormal Romance', 'Supernatural']"
Esperanza Rising,"['Historical Fiction', 'Young Adult', 'Middle Grade', 'Fiction', 'Childrens', 'Realistic Fiction', 'Historical']"
"1Q84 Book 1 (1Q84, #1)","['Fiction', 'Fantasy', 'Japan', 'Japanese Literature', 'Magical Realism', 'Novels', 'Contemporary']"
Lady Windermere's Fan,"['Classics', 'Plays', 'Fiction', 'Drama', 'Theatre', '19th Century', 'Humor']"
Too Loud a Solitude,"['Fiction', 'Czech Literature', 'Classics', 'Novels', 'Literature', 'Books About Books', 'Novella']"
Ezekiel's Eyes,[]
Sonnets from the Portuguese,"['Poetry', 'Classics', 'Romance', '19th Century', 'Victorian', 'British Literature', 'Literature']"
Stolen Lives: Twenty Years in a Desert Jail,"['Nonfiction', 'Memoir', 'Biography', 'History', 'Africa', 'Morocco', 'Biography Memoir']"
The Krishna Key,"['Fiction', 'Thriller', 'Mythology', 'Indian Literature', 'Historical Fiction', 'Mystery', 'Fantasy']"
Private Peaceful,"['Historical Fiction', 'Fiction', 'Young Adult', 'War', 'Novels', 'Historical', 'Childrens']"
My Grandmother Asked Me to Tell You She's Sorry,"['Fiction', 'Contemporary', 'Fantasy', 'Audiobook', 'Humor', 'Adult', 'Adult Fiction']"
Assuming Names: A Con Artist's Masquerade,"['Crime', 'Thriller', 'Memoir', 'Humor', 'Biography', 'Nonfiction', 'True Crime']"
"Practical Magic (Practical Magic, #1)","['Fantasy', 'Fiction', 'Magical Realism', 'Romance', 'Witches', 'Magic', 'Paranormal']"
The Procrastination Equation: How to Stop Putting Things Off and Start Getting Stuff Done,"['Self Help', 'Nonfiction', 'Psychology', 'Productivity', 'Personal Development', 'Business', 'Science']"
The Power Of Less: The Fine Art of Limiting Yourself to the Essential,"['Nonfiction', 'Self Help', 'Productivity', 'Business', 'Personal Development', 'Psychology', 'Philosophy']"
Arminius and Thusnelda Versus Rome,"['Historical Fiction', 'Fiction', 'Drama', 'Contemporary', 'Novels', 'Epic', 'Mythology']"
Tippy the Knight,"['Fantasy', 'M M Romance']"
Fatal Identity (Remmich/Miller #3),"['Fiction', 'Novels', 'Contemporary', 'Epic', 'Drama']"
The Compleat Works of Wllm Shkspr,"['Plays', 'Classics', 'Humor', 'Fiction', 'Drama', 'Theatre', 'Comedy']"
"Dreamfever (Fever, #4)","['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Fae', 'Paranormal Romance', 'Adult']"
Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,"['Nonfiction', 'History', 'Memoir', 'Biography', 'School', 'Historical', 'World War II']"
"The Game of Kings (The Lymond Chronicles, #1)","['Historical Fiction', 'Fiction', 'Historical', 'Scotland', 'Fantasy', 'Adventure', 'Romance']"
"Feed (Newsflesh, #1)","['Horror', 'Zombies', 'Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Young Adult']"
"Journey of Souls: Case Studies of Life Between Lives, Fifth Revised Edition","['Spirituality', 'Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'New Age', 'Religion']"
"HIDDEN MICKEY ADVENTURES 2: Peter and the Missing Mansion (Hidden Mickey Adventures, #2)",[]
"The Golem's Eye (Bartimaeus, #2)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Middle Grade', 'Urban Fantasy', 'Adventure']"
"The Three-Body Problem (Remembrance of Earth’s Past, #1)","['Science Fiction', 'Fiction', 'China', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Aliens']"
Across the Ocean,"['Suspense', 'Thriller', 'New Adult', 'Mystery', '21st Century', 'Drama', 'Modern']"
Ocean Sea,"['Fiction', 'Italian Literature', 'Contemporary', 'Italy', 'Magical Realism', 'Novels', 'Literature']"
Soft,"['Fiction', 'Novels', 'Mystery', 'Suspense', 'Adult Fiction', 'British Literature', 'Contemporary']"
From Brexit to Brazil,[]
How to Be Yourself: Quiet Your Inner Critic and Rise Above Social Anxiety,"['Self Help', 'Nonfiction', 'Psychology', 'Mental Health', 'Personal Development', 'Audiobook', 'Health']"
Notes on a Nervous Planet,"['Nonfiction', 'Self Help', 'Mental Health', 'Psychology', 'Audiobook', 'Memoir', 'Philosophy']"
Unaccustomed Earth,"['Fiction', 'Short Stories', 'India', 'Contemporary', 'Literary Fiction', 'Literature', 'Indian Literature']"
The Elf Queen of Shannara,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic']"
Anathem,"['Science Fiction', 'Fiction', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Audiobook']"
"Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist, 1968-1976","['Nonfiction', 'Journalism', 'Biography', 'Politics', 'Memoir', 'History', 'Essays']"
The Devil and Miss Prym,"['Fiction', 'Philosophy', 'Novels', 'Contemporary', 'Spirituality', 'Fantasy', 'Magical Realism']"
"A Clean Kill in Tokyo (John Rain, #1)","['Thriller', 'Fiction', 'Mystery', 'Crime', 'Mystery Thriller', 'Japan', 'Action']"
Angels and Arrows,['Fantasy']
"Slapstick, or Lonesome No More!","['Fiction', 'Science Fiction', 'Classics', 'Humor', 'Literature', 'Novels', 'American']"
"Dom Wars: Round 4, 5, 6 (Dom Wars, #4-6)",[]
Lorna Doone,"['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Historical', '19th Century', 'Literature']"
The Myth of Sisyphus,"['Philosophy', 'Nonfiction', 'Classics', 'France', 'Essays', 'French Literature', 'Literature']"
Successful Freelancing And Outsourcing: A Guide To Make Money Online And Increase Business Profit,['Business']
"The Eye of God (Sigma Force, #9)","['Thriller', 'Fiction', 'Adventure', 'Action', 'Mystery', 'Mystery Thriller', 'Science Fiction']"
The Raw Shark Texts,"['Fiction', 'Fantasy', 'Science Fiction', 'Mystery', 'Thriller', 'Horror', 'Novels']"
"The Summer I Turned Pretty (Summer, #1)","['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Chick Lit', 'Audiobook', 'Realistic Fiction']"
Secret Deceptions (Amatore's Restaurant #1),['Romance']
Sensual Desires (Amatore's Restaurant #2),[]
Clandestine Liaisons (Amatore's Restaurant #3),[]
The Quirky Tale of April Hale,"['Romance', 'Contemporary', 'Young Adult', 'High School', 'Humor', 'Fiction', 'Contemporary Romance']"
"The Hate U Give (The Hate U Give, #1)","['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice']"
The Tattooist of Auschwitz,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'Holocaust', 'Romance']"
Norse Mythology,"['Fantasy', 'Mythology', 'Fiction', 'Audiobook', 'Short Stories', 'Historical Fiction', 'Classics']"
The Transhumanism Handbook,"['Nonfiction', 'Philosophy', 'How To', 'Science', 'Book Club']"
"The Time Quartet Box Set (Time Quartet, #1-4)","['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Childrens', 'Classics', 'Science Fiction Fantasy']"
"The Edge of Never (The Edge of Never, #1)","['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Fiction', 'Chick Lit']"
The Caine Mutiny,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'World War II', 'Military Fiction', 'Literature']"
"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire","['Self Help', 'Nonfiction', 'Psychology', 'Philosophy', 'Relationships', 'Personal Development', 'Spirituality']"
Between the World and Me,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Social Justice', 'Biography']"
In the Shadow of the Banyan,"['Historical Fiction', 'Fiction', 'Asia', 'War', 'Historical', 'Adult Fiction', 'Literary Fiction']"
THE YOGA WITH NO PANTS: Super Indy-The Last Half,[]
House Rules,"['Fiction', 'Mystery', 'Contemporary', 'Autistic Spectrum Disorder', 'Adult Fiction', 'Adult', 'Chick Lit']"
"Forever Odd (Odd Thomas, #2)","['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Paranormal', 'Supernatural']"
Our Souls at Night,"['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Adult Fiction', 'Book Club']"
"Roses Are Red (Alex Cross, #6)","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Detective']"
Committed: A Skeptic Makes Peace with Marriage,"['Nonfiction', 'Memoir', 'Biography', 'Relationships', 'Marriage', 'Audiobook', 'Romance']"
"Taran Wanderer (The Chronicles of Prydain, #4)","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Classics']"
"Conscious Creativity Mindfulness Meditations (AoL Mindfulness, #7)","['Nonfiction', 'Spirituality', 'Self Help', 'Philosophy']"
The Truth About Forever,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen']"
The Last Question,"['Science Fiction', 'Short Stories', 'Fiction', 'Classics', 'Philosophy', 'Literature', 'Science Fiction Fantasy']"
The Pilgrimage,"['Fiction', 'Philosophy', 'Spirituality', 'Novels', 'Travel', 'Inspirational', 'Religion']"
"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)","['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook']"
The Immortalists,"['Fiction', 'Fantasy', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Magical Realism', 'Literary Fiction']"
"Relic (Pendergast, #1)","['Horror', 'Thriller', 'Mystery', 'Fiction', 'Science Fiction', 'Mystery Thriller', 'Suspense']"
"Red Sparrow (Red Sparrow Trilogy, #1)","['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Mystery Thriller', 'Audiobook', 'Russia']"
"Thrive: The Third Metric to Redefining Success and Creating a Life of Well-Being, Wisdom, and Wonder","['Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Health', 'Psychology', 'Leadership']"
The Return of the Native,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature', 'Novels']"
The Reason for God: Belief in an Age of Skepticism,"['Christian', 'Theology', 'Religion', 'Nonfiction', 'Christianity', 'Faith', 'Philosophy']"
"The Warrior's Way (Pre-Aztec series, #3)",['Historical Fiction']
The Sounding,"['Paranormal', 'Fantasy', 'Thriller', 'Mystery', 'Horror', 'Angels']"
"The Alloy of Law (Mistborn, #4)","['Fantasy', 'Fiction', 'Steampunk', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult']"
Bag of Bones,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Fantasy', 'Paranormal', 'Suspense']"
The Grownup,"['Fiction', 'Short Stories', 'Horror', 'Thriller', 'Mystery', 'Mystery Thriller', 'Audiobook']"
First Half: Super Indy,[]
FIRST HALF: Super Indy,[]
Spiritual Symbols (AoL Mindfulness #8),"['Philosophy', 'Spirituality', 'Self Help']"
Seveneves,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Science Fiction Fantasy', 'Audiobook', 'Space', 'Fantasy']"
"66 Metres (Nadia Laksheva Spy Thriller, #1)","['Thriller', 'Drama', 'Novels', 'Fiction', 'Epic']"
No Great Mischief,"['Fiction', 'Canada', 'Historical Fiction', 'Canadian Literature', 'Literary Fiction', 'Literature', 'Contemporary']"
"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else","['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Education', 'Science']"
"The Young Jaguar (Pre-Aztec Series, #1)","['Historical Fiction', 'Fiction', 'Historical', 'Adventure']"
"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Dragons', 'Adventure']"
"The Great Action (Super Indy, #4)",[]
"New Spring (The Wheel of Time, #0)","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook']"
The Cyberiad,"['Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Fantasy', 'Science Fiction Fantasy']"
Cunt: A Declaration of Independence,"['Feminism', 'Nonfiction', 'Gender', 'Gender Studies', 'Sexuality', 'Womens', 'Queer']"
My Life in France,"['Nonfiction', 'Memoir', 'Food', 'Biography', 'France', 'Travel', 'Cooking']"
Captains and the Kings: The Story of an American Dynasty,"['Historical Fiction', 'Fiction', 'Historical', 'Classics', 'Romance', 'Novels', 'Historical Romance']"
Welcome to the Monkey House,"['Fiction', 'Short Stories', 'Science Fiction', 'Classics', 'Literature', 'Humor', 'American']"
"Tiger and the Robot (Chandler Gray, #1)",['Fiction']
"Charmed Life (Chrestomanci, #1)","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Magic', 'Young Adult Fantasy']"
"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises From The Power of Now","['Self Help', 'Spirituality', 'Nonfiction', 'Philosophy', 'Psychology', 'Personal Development', 'Audiobook']"
"Crossing Worlds (The Rise of the Aztecs, #2)","['Historical Fiction', 'Fiction']"
Address Unknown,"['Fiction', 'Historical Fiction', 'Classics', 'Short Stories', 'Historical', 'World War II', 'Holocaust']"
Jasper Jones,"['Young Adult', 'Fiction', 'Mystery', 'Historical Fiction', 'Australia', 'Coming Of Age', 'Contemporary']"
A Victim of the Times,[]
"Betrayal High (Zachary Blake Legal Thriller, #5)",[]
TED Talks: The Official TED Guide to Public Speaking,"['Nonfiction', 'Business', 'Self Help', 'Communication', 'Personal Development', 'Leadership', 'Psychology']"
The Walking Drum,"['Historical Fiction', 'Fiction', 'Westerns', 'Adventure', 'Historical', 'Classics', 'Medieval']"
"Eragon, Eldest & Brisingr (Inheritance, #1-3)","['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Magic', 'Adventure', 'Childrens']"
"Prince of Thorns (The Broken Empire, #1)","['Fantasy', 'Fiction', 'Dark Fantasy', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Dark']"
The Ox-Bow Incident,"['Fiction', 'Westerns', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American']"
Long Walk: The True Story of a Trek to Freedom,"['Nonfiction', 'History', 'Adventure', 'Biography', 'Memoir', 'Travel', 'Survival']"
The Storied Life of A.J. Fikry,"['Fiction', 'Contemporary', 'Books About Books', 'Adult', 'Adult Fiction', 'Romance', 'Audiobook']"
The Road to Character,"['Nonfiction', 'Philosophy', 'Psychology', 'Self Help', 'Biography', 'Personal Development', 'Leadership']"
"Requiem (Delirium, #3)","['Young Adult', 'Dystopia', 'Romance', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure']"
The Ones Who Walk Away from Omelas,"['Short Stories', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction', 'Philosophy', 'Dystopia']"
"Louboutins, Lattes & Live TV","['Adventure', 'Modern', 'Fiction', 'Cultural', 'Young Adult', 'Teen', 'Pop Culture']"
The Nanny Song,"['Fiction', 'Young Adult', 'Contemporary', 'New Adult', 'Adult', 'Contemporary Romance', 'Romance']"
"Us Against You (Beartown, #2)","['Fiction', 'Contemporary', 'Audiobook', 'Sports', 'Adult', 'Literary Fiction', 'Adult Fiction']"
The Sympathizer,"['Fiction', 'Historical Fiction', 'War', 'Asia', 'Historical', 'Literary Fiction', 'Novels']"
Daisy Jones & The Six,"['Fiction', 'Historical Fiction', 'Audiobook', 'Romance', 'Contemporary', 'Adult', 'Music']"
On Earth We're Briefly Gorgeous,"['Fiction', 'Poetry', 'LGBT', 'Contemporary', 'Queer', 'Literary Fiction', 'Adult']"
Letters from a Stoic,"['Philosophy', 'Nonfiction', 'Classics', 'History', 'Self Help', 'Psychology', 'Personal Development']"
The Heart of the Matter,"['Fiction', 'Classics', 'Africa', 'Literature', 'Novels', 'British Literature', 'Literary Fiction']"
"Dreamer (Chronicles of Marithe, #1)","['Fantasy', 'Dragons']"
Faking Delinquency,"['Romance', 'Contemporary', 'Young Adult', 'Teen', 'High School', 'Young Adult Romance', 'Fiction']"
The Definitive Book of Body Language,"['Psychology', 'Nonfiction', 'Self Help', 'Communication', 'Business', 'Science', 'Personal Development']"
"An Absolutely Remarkable Thing (The Carls, #1)","['Science Fiction', 'Fiction', 'Young Adult', 'Contemporary', 'Audiobook', 'LGBT', 'Fantasy']"
"A Decent Ride (Terry Lawson, #3)","['Fiction', 'Novels', 'Scotland', 'Contemporary', 'Audiobook', 'Humor', 'Comedy']"
An Anonymous Girl,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult']"
Station Eleven,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Audiobook', 'Adult', 'Fantasy']"
"Punished by Rewards: The Trouble with Gold Stars, Incentive Plans, A's, Praise and Other Bribes","['Parenting', 'Education', 'Nonfiction', 'Psychology', 'Teaching', 'Business', 'Management']"
"Metro 2033 (Metro, #1)","['Science Fiction', 'Fiction', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Russia']"
"Murder Must Advertise  (Lord Peter Wimsey, #8)","['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'British Literature', 'Detective']"
"Currents of War (The Rise of the Aztecs, #4)","['Historical Fiction', 'Fiction']"
Lord of Light,"['Science Fiction', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Mythology', 'Classics', 'Hugo Awards']"
The 7-Day Flat-Belly Tea Cleanse: The Revolutionary New Plan to Melt Up to 10 Pounds of Fat in Just One Week! by Kelly Choi | A 10-minute Summary,['Nonfiction']
The Anti-Christ,"['Philosophy', 'Nonfiction', 'Classics', 'Religion', 'German Literature', '19th Century', 'Atheism']"
"Magic Bites (Kate Daniels, #1)","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Romance', 'Vampires', 'Paranormal Romance']"
All the Missing Girls,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Adult']"
"Foundation and Earth (Foundation, #5)","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Novels']"
"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)","['Fantasy', 'Fiction', 'High Fantasy', 'Novella', 'Short Stories', 'Epic Fantasy', 'Science Fiction Fantasy']"
What Every Body is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,"['Psychology', 'Nonfiction', 'Self Help', 'Communication', 'Business', 'Personal Development', 'Science']"
The Taking,"['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Suspense', 'Mystery', 'Fantasy']"
The Creature from Jekyll Island: A Second Look at the Federal Reserve,"['Economics', 'History', 'Nonfiction', 'Finance', 'Politics', 'Business', 'Money']"
"The Cay (The Cay, #1)","['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Childrens', 'School', 'Adventure']"
"Laskar Pelangi (Tetralogi Laskar Pelangi, #1)","['Fiction', 'Novels', 'Indonesian Literature', 'Childrens', 'Young Adult', 'Education', 'Asia']"
The Moon and Sixpence,"['Fiction', 'Classics', 'Art', 'Literature', 'Historical Fiction', 'Novels', 'British Literature']"
Asylum: A Hidden Tale - Sinister Tales,['Horror']
"Make Me (Jack Reacher, #20)","['Thriller', 'Fiction', 'Mystery', 'Crime', 'Suspense', 'Action', 'Mystery Thriller']"
Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,"['Spirituality', 'Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Religion', 'Inspirational']"
Relentless: From Good to Great to Unstoppable (Tim Grover Winning Series),"['Self Help', 'Nonfiction', 'Personal Development', 'Business', 'Psychology', 'Sports', 'Leadership']"
Saturday,"['Fiction', 'Contemporary', 'Literary Fiction', 'British Literature', 'Literature', 'Novels', 'Adult Fiction']"
City of God,"['Philosophy', 'Theology', 'Religion', 'Classics', 'History', 'Nonfiction', 'Christianity']"
Why Evolution Is True,"['Science', 'Nonfiction', 'Evolution', 'Biology', 'History', 'Popular Science', 'Religion']"
My Name is Joe,"['Fiction', 'Contemporary', '21st Century', 'Science Fiction Fantasy', 'Amazon', 'Novels']"
In the Country of Last Things,"['Fiction', 'Dystopia', 'Science Fiction', 'Novels', 'American', 'Post Apocalyptic', 'Literature']"
"Sahara (Dirk Pitt, #11)","['Fiction', 'Adventure', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']"
This Is How It Always Is,"['Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Adult', 'Book Club', 'Family']"
"Love Is a Mix Tape: Life and Loss, One Song at a Time","['Music', 'Nonfiction', 'Memoir', 'Biography', 'Romance', 'Biography Memoir', 'Autobiography']"
حوار مع صديقي الملحد,"['Religion', 'Philosophy', 'Nonfiction', 'Islam', 'Atheism', 'Unfinished', 'Theology']"
The Doomsday Conspiracy,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Science Fiction', 'Novels']"
A Pocket for Corduroy,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Fantasy', 'Kids']"
Home: A Hidden Tale - Sinister Tales,['Horror']
Rework,"['Business', 'Nonfiction', 'Entrepreneurship', 'Management', 'Self Help', 'Productivity', 'Leadership']"
Falsely Accused of the Unthinkable,"['Epic', 'Fiction', 'Novels', 'Drama']"
Willpower: Rediscovering the Greatest Human Strength,"['Psychology', 'Nonfiction', 'Self Help', 'Personal Development', 'Productivity', 'Science', 'Business']"
"The Emperor's Second Wife (The Rise of the Aztecs, #3)",['Historical Fiction']
"To Your Scattered Bodies Go (Riverworld, #1)","['Science Fiction', 'Fiction', 'Fantasy', 'Hugo Awards', 'Science Fiction Fantasy', 'Classics', 'Speculative Fiction']"
The Ball and the Cross,"['Fiction', 'Classics', 'Philosophy', 'Christian', 'Religion', 'Fantasy', 'Christianity']"
"Fortune's Pawn (Paradox, #1)","['Science Fiction', 'Romance', 'Space Opera', 'Fiction', 'Aliens', 'Space', 'Adult']"
The War That Saved My Life,"['Historical Fiction', 'Middle Grade', 'Fiction', 'Young Adult', 'Historical', 'World War II', 'Childrens']"
La casa de Bernarda Alba,"['Plays', 'Classics', 'Spanish Literature', 'Drama', 'Theatre', 'Fiction', 'School']"
The Clockmaker's Daughter,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Romance', 'Audiobook', 'Adult']"
Lies a River Deep,"['Contemporary', 'Fiction']"
"The Likeness (Dublin Murder Squad, #2)","['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Ireland', 'Audiobook']"
How to Make People Like You in 90 Seconds or Less,"['Self Help', 'Nonfiction', 'Psychology', 'Business', 'Communication', 'Personal Development', 'Audiobook']"
How to Have Confidence and Power in Dealing with People,"['Self Help', 'Business', 'Nonfiction', 'Communication', 'Psychology', 'Leadership', 'Personal Development']"
Six Thinking Hats,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Management', 'Leadership']"
Unbearable Lightness: A Story of Loss and Gain,"['Nonfiction', 'Memoir', 'Biography', 'Autobiography', 'Mental Health', 'LGBT', 'Biography Memoir']"
The Improbable Wonders of Moojie Littleman,"['Fiction', 'Magical Realism', 'Young Adult', 'Fantasy', 'New Adult', 'Adult', 'Novels']"
Baby Teeth,"['Horror', 'Thriller', 'Fiction', 'Mystery Thriller', 'Mystery', 'Audiobook', 'Suspense']"
Looking for Mr. Goodbar,"['Fiction', 'Thriller', 'Mystery', 'New York', 'Classics', 'Novels', 'Crime']"
Bulfinch's Mythology,"['Mythology', 'Classics', 'Fiction', 'Fantasy', 'Reference', 'Religion', 'Literature']"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
Your Erroneous Zones,"['Self Help', 'Psychology', 'Nonfiction', 'Personal Development', 'Spirituality', 'Philosophy', 'Audiobook']"
"Blood Bound (Mercy Thompson, #2)","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Romance', 'Werewolves', 'Paranormal Romance']"
"Things Not Seen (Things, #1)","['Young Adult', 'Science Fiction', 'Fiction', 'Fantasy', 'Middle Grade', 'Mystery', 'Childrens']"
One Plus One,"['Fiction', 'Romance', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']"
Mourning Grey: Part One: The Guardians Of The Temple Saga,[]
